Intensity	moverz	RT_minutes
155737.7344	91.05447	0.592
882005.75	94.06543	1.85
637984.75	96.04469	0.537
515837.5938	101.10767	0.428
385897.5	110.0604	2.035
476525.9063	112.8961	2.315
152664.9531	114.05534	3.882
338466.0313	120.10232	2.154
574322.375	121.04004	0.951
107913.1875	122.07171	2.114
653765.5625	124.08734	3.265
114456.6797	126.10303	3.425
1794146.875	135.00342	2.489
182307.5781	140.08232	0.495
450782.5	142.0867	1.279
285081.7813	143.08212	3.88
441295.2813	146.01939	2.438
822708.625	154.05042	0.489
10975257	156.07735	3.244
5661980	157.97522	0.243
7582330	160.06108	3.888
196013.9844	160.09744	2.849
361375.75	165.05524	2.353
3334098.5	170.09306	3.261
585417.75	170.12943	0.243
21690486	172.98041	2.446
152892.1875	177.06656	0.487
4458856.5	194.11832	2.658
207836.4688	199.10844	0.629
148517.4375	202.12344	0.987
256397.75	208.13405	2.874
205446.6406	219.07724	0.623
167889.2188	221.99164	2.908
953299.75	224.12904	2.734
1064788.125	227.11487	3.282
1992845.875	229.99992	0.699
786285.6875	230.01088	0.7
830014.125	230.15472	0.568
197635.9375	230.99994	0.695
494105.125	235.11983	0.622
2715681.25	240.1028	1.549
6943712.5	240.96811	2.451
639823.75	244.08014	2.103
14072504	247.14497	1.432
775306.625	247.18134	0.567
1344290.625	258.0307	3.772
2180553.25	271.02655	0.701
125576.6406	271.03769	0.701
563388.1875	272.01862	3.226
147588.3125	272.02988	0.711
201297.875	280.17068	0.602
1338481.511	285.04816	1.848
107214.7656	288.0379	0.71
2245797.25	290.03247	0.699
167196.625	292.10406	3.308
136649344	293.09918	3.888
243714.9375	297.98737	4.161
1885811.125	298.34805	0.371
16003467	302.02072	3.775
601039.625	302.19745	1.662
265137.625	305.01923	2.586
150291.6094	325.01563	0.595
9865599	336.98749	2.442
1310923.625	342.04562	1.849
118984016	346.01077	3.775
17902810	347.01581	3.841
2159925	348.01517	3.755
265120.6563	348.89075	2.311
277248	351.03485	3.272
734527.75	353.02835	3.898
1053615.5	362.90649	2.315
3748753.75	378.11337	0.305
313603.8438	380.25751	2.024
6412976	389.16422	0.88
10442715	389.16428	0.525
148501.875	391.1796	0.561
235468.3438	392.90811	2.344
4643786.428	404.97519	2.442
137745.0469	425.03821	3.75
1792588.625	446.05548	1.847
469813.125	450.04962	1.849
820145.0625	456.20361	2.143
262157.5938	458.27417	3.445
1681328.625	470.21933	2.087
232309.25	474.03271	2.453
265181.5938	477.1528	3.887
1193766	488.04895	2.449
362689	490.20911	1.622
1056745.375	494.36255	1.438
928593728	496.34143	1.523
494554.9375	498.86096	2.309
43741492	500.99435	2.444
95126968	515.00977	2.446
4748512	518.32538	1.517
193381056	520.34186	1.496
702195.5	538.35236	1.578
247652.8281	544.8457	2.309
488367.1563	558.86127	2.31
147348.6094	582.82275	2.337
24939386	582.99774	2.442
428440.25	596.8385	2.335
42930252	597.01349	2.444
140504.0313	604.27271	1.438
122819.4531	608.39478	1.377
316317.25	619.4931	0.536
661187.25	620.39478	1.339
364097.5938	622.30709	1.515
294152.875	642.82312	2.311
341883.0313	645.49884	1.424
18638928	665.00116	2.452
26934531.07	679.01636	2.447
246782.1563	693.3327	1.473
26663374	701.56165	1.418
249716.5781	713.99695	3.919
247146.5469	717.06378	1.849
251135.8125	723.54449	1.387
5140864	732.98865	2.45
3040480.25	742.57745	1.193
2749441.5	742.5777	1.111
15817523	747.00452	2.452
9436324	756.55701	1.229
242808672	758.5722	1.231
859256.75	768.55634	1.131
3312843.75	772.58783	1.225
130171.2266	779.60919	1.381
6363958	780.5567	1.198
8963764	780.55713	1.114
1245070.625	780.99786	2.455
116608816	782.57227	1.112
1518760.75	788.00604	2.45
6529189	788.61041	1.136
658424.1875	790.57776	1.059
